id,Machine_failure_pred,Probability
136429,0,0.002137850170683175
136430,0,0.0010490850310341572
136431,0,0.0026744541373334985
136432,0,0.003017431785003691
136433,0,0.0037088641158401704
136434,0,0.0027665525723656534
136435,0,0.0039478313686196614
136436,0,0.004891517561210873
136437,0,0.0009491327710203113
136438,0,0.0011246089688392309
136439,0,0.002404716281225976
136440,0,0.002189786356649751
136441,0,0.0011739798180430846
136442,0,0.0017737757800810963
136443,0,0.002103909495115826
136444,0,0.005510127545633629
136445,0,0.0009986727797035768
136446,1,0.9927861370970266
136447,0,0.0023895636070923403
136448,0,0.0017361336171723132
136449,0,0.005625400171259066
136450,0,0.004101486306943667
136451,0,0.021184731105512902
136452,0,0.022378864924493768
136453,0,0.003905313120610056
136454,0,0.0014331827055361016
136455,0,0.0016824533005348325
136456,0,0.0072196142095567375
136457,0,0.006611864909078518
136458,0,0.004815179226768798
136459,0,0.003699216577649941
136460,0,0.0028042203863336136
136461,0,0.0011914196367624327
136462,0,0.018961105617795324
136463,0,0.0017838948085777268
136464,0,0.0030994131959506963
136465,0,0.0014778544173250508
136466,0,0.0019671977425891616
136467,0,0.001225356515476733
136468,0,0.0028075917788114367
136469,0,0.0013094813844000783
136470,0,0.0027038467305217657
136471,0,0.009396844249777358
136472,0,0.007370802144989894
136473,0,0.002298786783572681
136474,0,0.0022023335136893817
136475,0,0.0031429992701065474
136476,0,0.005695475464881478
136477,0,0.0023590448910207145
136478,0,0.002146319609756043
136479,0,0.0012281211171601344
136480,0,0.006418036127218965
136481,0,0.0023730721475301694
136482,0,0.03371771865998624
136483,0,0.0030909092881843407
136484,0,0.0010170552484008303
136485,0,0.0013745074847078946
136486,0,0.002333322971791456
136487,0,0.0014282969216742538
136488,0,0.004321118414546009
136489,0,0.0010830967279812332
136490,0,0.024196018454845022
136491,0,0.0036258435436715385
136492,0,0.0031032517703263145
136493,0,0.0032704662416684423
136494,0,0.0010629841530953648
136495,0,0.0027396682827217998
136496,0,0.004601649926311715
136497,0,0.002150598924751797
136498,0,0.009860241693611878
136499,0,0.001384383145342105
136500,0,0.0006758191153358797
136501,0,0.0014719772042041748
136502,0,0.005263349731284482
136503,0,0.0028888986949614347
136504,0,0.0011605462489447567
136505,0,0.0010504655429727202
136506,0,0.0026597637144526657
136507,0,0.0006986958875643842
136508,0,0.0010459481600023723
136509,0,0.0038494130632039138
136510,0,0.001587392621493005
136511,0,0.010643716095943914
136512,0,0.0008263669665766479
136513,0,0.006187297158534751
136514,0,0.0020081892414749213
136515,0,0.0022995056203958864
136516,0,0.0034884494987035986
