PassengerId,Survived_pred,Survived_prob
892,0,0.10638525211841268
893,1,0.7298220525396428
894,0,0.21192920249925143
895,0,0.14753226314664955
896,1,0.542090854961657
897,0,0.12390340919084761
898,1,0.6831940749424102
899,0,0.109410046237799
900,1,0.7059878452347567
901,0,0.11516246622688987
902,0,0.10998954008658977
903,0,0.150609878183744
904,1,0.9423695568407329
905,0,0.17024679213222454
906,1,0.9474147474328611
907,1,0.9301293701515728
908,0,0.11542901567912375
909,0,0.27105837897536816
910,0,0.3886239410707148
911,1,0.7294629028275679
912,0,0.2666411400545236
913,1,0.7347290878986378
914,1,0.9474147474328611
915,0,0.3288885394858537
916,1,0.9310348857840585
917,0,0.08449299840741635
918,1,0.945890178716717
919,0,0.27105837897536816
920,0,0.4861459005586119
921,0,0.1533980855183368
922,0,0.09186834434997217
923,0,0.12803358372759915
924,1,0.7802953898233319
925,0,0.07060125131138348
926,0,0.4328398001463157
927,0,0.21057000824563976
928,0,0.2702775611541655
929,0,0.26325567101292874
930,0,0.12772242228859085
931,0,0.415852026666052
932,0,0.11951762418003176
933,0,0.336487731026877
934,0,0.11708508027941712
935,1,0.9285503415168818
936,1,0.9474147474328611
937,0,0.1590100041009133
938,0,0.32723155346175
939,0,0.16094941047348107
940,1,0.9396430360458916
941,1,0.7177011590633527
942,0,0.20442448207736524
943,0,0.2169915588593266
944,1,0.9431227315674211
945,1,0.9340526795095417
946,0,0.13991715804680374
947,0,0.05864298336283479
948,0,0.09371233022682034
949,0,0.12661092151037387
950,0,0.11051652191872086
951,1,0.9473317136100993
952,0,0.09856366198943986
953,0,0.2328292781575664
954,0,0.1316563488929238
955,1,0.7525129945571856
956,0,0.24757818325563596
957,1,0.8678465586632257
958,1,0.5738309730918681
959,0,0.18145508629801393
960,0,0.3009318720687345
961,1,0.9258768410019237
962,1,0.6650200704625616
963,0,0.1180186345807695
964,0,0.4573322545499997
965,0,0.3009318720687345
966,1,0.9473317136100993
967,0,0.17459449226642318
968,0,0.13033177585723876
969,1,0.9341670581152172
970,0,0.13033177585723876
971,1,0.6650200704625616
972,1,0.8992460284303917
973,0,0.1326573047406042
974,0,0.1882155939841798
975,0,0.10998954008658977
976,0,0.13033177585723876
977,0,0.13991715804680374
978,1,0.7459645437987833
979,0,0.26325567101292874
980,1,0.7161468056332205
981,1,0.9182350266197195
982,0,0.49338044012912746
983,0,0.16094941047348107
984,1,0.826488354372326
985,0,0.13033177585723876
986,0,0.34481472272515057
987,0,0.15986132782648838
988,1,0.9413959400373509
989,0,0.15839449446176024
990,0,0.41366696738440917
991,0,0.11542901567912375
992,1,0.9460137585764151
993,0,0.12547921714915977
994,0,0.16094941047348107
995,0,0.15986132782648838
996,0,0.41160894374641466
997,0,0.11051652191872086
998,0,0.1180186345807695
999,0,0.16094941047348107
1000,0,0.13033177585723876
1001,0,0.12390340919084761
1002,0,0.0958049427175021
1003,1,0.7161468056332205
1004,1,0.9279208135128133
1005,1,0.5676594655020648
1006,1,0.9433877299954687
1007,0,0.183423255022727
1008,0,0.12594158453770515
1009,1,0.6786688220271232
1010,0,0.45436400704309227
1011,1,0.9415025619615427
1012,1,0.9100150887044784
1013,0,0.16094941047348107
1014,1,0.9460137585764151
1015,0,0.10518799701783216
1016,0,0.16094941047348107
1017,1,0.6709072008374286
1018,0,0.15986132782648838
1019,1,0.8582740542440785
1020,0,0.11542901567912375
1021,0,0.12772242228859085
1022,0,0.23879787797161556
1023,0,0.4099425806272427
1024,0,0.0738941913277233
1025,0,0.12594158453770515
1026,0,0.09371233022682034
1027,0,0.1180186345807695
1028,0,0.37342295491901895
1029,0,0.1308551911414065
1030,0,0.26325567101292874
1031,0,0.07310520040771681
1032,0,0.0745831572759198
1033,1,0.8099877882426275
1034,0,0.35352399222680747
1035,0,0.11051652191872086
1036,0,0.336487731026877
1037,0,0.13283619549325237
1038,0,0.18648144772151665
1039,0,0.12772242228859085
1040,0,0.336487731026877
1041,0,0.10212329265323292
1042,1,0.945890178716717
1043,0,0.17837175691635604
1044,0,0.07346996522937875
1045,1,0.7501282081619703
1046,0,0.1190970119857654
1047,0,0.12661092151037387
1048,1,0.9487003550935041
1049,0,0.39872786829175033
1050,0,0.336487731026877
1051,1,0.7324106142047624
1052,1,0.7629291394192989
