PassengerId,Survived_pred,Survived_prob
892,0,0.15990940073441584
893,1,0.49474069689826655
894,0,0.15209605492568548
895,0,0.152186240620071
896,1,0.5122832592025194
897,0,0.17762032094801936
898,1,0.8330992987694646
899,0,0.19831227133036575
900,1,0.7116699537605722
901,0,0.1354151533377135
902,0,0.1528319340937662
903,0,0.16015878620201612
904,1,0.8709945198427221
905,0,0.14579201289685295
906,1,0.8948102579219278
907,1,0.8692536641046666
908,0,0.14596306966854888
909,0,0.17838761316896762
910,0,0.4562901686559754
911,1,0.63337558796517
912,0,0.25857001338715274
913,1,0.6033626699978334
914,1,0.8894934684611989
915,0,0.29565463444036416
916,1,0.5
917,0,0.12609025587244008
918,1,0.8901772341307659
919,0,0.17232590658371638
920,0,0.16039423468082656
921,0,0.1615563143507335
922,0,0.14389733503995886
923,0,0.18650911101968093
924,0,0.4263051311936311
925,0,0.4289863216022031
926,0,0.19175025884794547
927,0,0.19185268687546067
928,1,0.5669659852740033
929,1,0.5336438897649763
930,0,0.15141671286431213
931,0,0.17595776144863837
932,0,0.15190609832737031
933,0,0.15976951546475088
934,0,0.16007933598927415
935,1,0.8580933375723673
936,1,0.9002570929963571
937,0,0.151310247675568
938,0,0.17121033026811466
939,0,0.15860412151972358
940,1,0.8197140087951259
941,1,0.6129064421815728
942,0,0.17541914345329992
943,0,0.1506792075785218
944,1,0.7787919982886228
945,1,0.834215680261274
946,0,0.1494286570880192
947,0,0.13865917727922106
948,0,0.1591901403709389
949,0,0.1512960656844788
950,0,0.12100412116992812
951,1,0.7326735588367148
952,0,0.1632340011955695
953,0,0.15234917383230157
954,0,0.15988959692249075
955,1,0.8271856088075374
956,1,0.5202357497529122
957,1,0.8596505419906079
958,1,0.8179356937022958
959,0,0.15939830573409217
960,0,0.157849751600308
961,0,0.25845785444996483
962,1,0.8306801029792428
963,0,0.1534432254460405
964,1,0.5713730209473962
965,0,0.1600458961766569
966,1,0.7801856271556605
967,0,0.25748287259874597
968,0,0.15284569116153168
969,1,0.8161444223056772
970,0,0.15007709610363582
971,1,0.8306801029792428
972,1,0.7393992207713684
973,0,0.4466099786370692
